customer_id,first_name,last_name,city,state,signup_date,loyalty_segment
BM-C00001,Ayaan,Sharma,Mumbai,Maharashtra,2021-09-07,Platinum
BM-C00002,Aditya,Reddy,Chennai,Tamil Nadu,2023-10-29,Gold
BM-C00003,Pari,Nair,Hyderabad,Telangana,2024-06-20,Platinum
BM-C00004,Krishna,Gupta,Bengaluru,Karnataka,2021-02-05,Gold
BM-C00005,Saanvi,Mehta,Lucknow,Uttar Pradesh,2022-05-25,Gold
BM-C00006,Arjun,Rao,Hyderabad,Telangana,2023-03-14,Bronze
BM-C00007,Vihaan,Gupta,Mumbai,Maharashtra,2024-05-03,Silver
BM-C00008,Ira,Verma,Kolkata,West Bengal,2022-04-10,Platinum
BM-C00009,Myra,Rao,Lucknow,Uttar Pradesh,2021-02-20,Bronze
BM-C00010,Navya,Iyer,Delhi,Delhi,2024-06-14,Gold
BM-C00011,Ishaan,Nair,Delhi,Delhi,2020-05-06,Platinum
BM-C00012,Krishna,Rao,Mumbai,Maharashtra,2020-07-09,Bronze
BM-C00013,Anika,Mehta,Chennai,Tamil Nadu,2020-09-09,Silver
BM-C00014,Sai,Rao,Pune,Maharashtra,2023-07-06,Bronze
BM-C00015,Ananya,Singh,Lucknow,Uttar Pradesh,2019-03-02,Bronze
BM-C00016,Ishaan,Reddy,Pune,Maharashtra,2019-06-29,Silver
BM-C00017,Aditya,Verma,Lucknow,Uttar Pradesh,2023-02-18,Bronze
BM-C00018,Arjun,Gupta,Jaipur,Rajasthan,2024-08-11,Platinum
BM-C00019,Sai,Iyer,Jaipur,Rajasthan,2023-06-28,Platinum
BM-C00020,Navya,Reddy,Hyderabad,Telangana,2021-08-26,Platinum
BM-C00021,Myra,Rao,Pune,Maharashtra,2022-11-03,Bronze
BM-C00022,Ayaan,Verma,Hyderabad,Telangana,2021-11-16,Bronze
BM-C00023,Navya,Reddy,Lucknow,Uttar Pradesh,2024-01-03,Silver
BM-C00024,Aditya,Sharma,Mumbai,Maharashtra,2020-12-12,Bronze
BM-C00025,Ananya,Verma,Mumbai,Maharashtra,2023-05-17,Silver
BM-C00026,Pari,Reddy,Chennai,Tamil Nadu,2023-08-03,Silver
BM-C00027,Riya,Singh,Lucknow,Uttar Pradesh,2021-01-24,Platinum
BM-C00028,Reyansh,Verma,Kolkata,West Bengal,2019-10-29,Platinum
BM-C00029,Saanvi,Nair,Pune,Maharashtra,2022-12-21,Bronze
BM-C00030,Vivaan,Nair,Delhi,Delhi,2021-11-20,Bronze
BM-C00031,Reyansh,Reddy,Hyderabad,Telangana,2023-07-25,Platinum
BM-C00032,Saanvi,Gupta,Bengaluru,Karnataka,2021-05-15,Platinum
BM-C00033,Aditya,Singh,Hyderabad,Telangana,2023-09-06,Bronze
BM-C00034,Navya,Sharma,Mumbai,Maharashtra,2019-10-17,Silver
BM-C00035,Saanvi,Singh,Bengaluru,Karnataka,2023-02-04,Silver
BM-C00036,Vivaan,Gupta,Kolkata,West Bengal,2022-03-23,Bronze
BM-C00037,Krishna,Singh,Kolkata,West Bengal,2021-06-05,Platinum
BM-C00038,Pari,Gupta,Jaipur,Rajasthan,2020-08-12,Gold
BM-C00039,Vivaan,Mehta,Hyderabad,Telangana,2023-08-12,Bronze
BM-C00040,Vivaan,Sharma,Pune,Maharashtra,2023-12-20,Platinum
BM-C00041,Anika,Gupta,Jaipur,Rajasthan,2019-06-26,Bronze
BM-C00042,Aditya,Mehta,Bengaluru,Karnataka,2019-07-31,Silver
BM-C00043,Vihaan,Mehta,Kolkata,West Bengal,2021-02-03,Bronze
BM-C00044,Aditya,Nair,Lucknow,Uttar Pradesh,2024-08-04,Gold
BM-C00045,Reyansh,Patel,Chennai,Tamil Nadu,2021-01-11,Gold
BM-C00046,Arjun,Iyer,Kolkata,West Bengal,2022-11-21,Gold
BM-C00047,Aarav,Singh,Delhi,Delhi,2024-04-13,Bronze
BM-C00048,Navya,Reddy,Delhi,Delhi,2023-04-21,Gold
BM-C00049,Diya,Verma,Bengaluru,Karnataka,2021-01-28,Gold
BM-C00050,Sai,Singh,Chennai,Tamil Nadu,2023-08-15,Gold
BM-C00051,Anika,Sharma,Lucknow,Uttar Pradesh,2024-09-05,Gold
BM-C00052,Arjun,Iyer,Delhi,Delhi,2019-12-25,Bronze
BM-C00053,Arjun,Iyer,Jaipur,Rajasthan,2021-05-25,Silver
BM-C00054,Reyansh,Iyer,Pune,Maharashtra,2023-04-20,Platinum
BM-C00055,Vivaan,Verma,Chennai,Tamil Nadu,2024-05-24,Platinum
BM-C00056,Vivaan,Sharma,Chennai,Tamil Nadu,2021-11-02,Silver
BM-C00057,Sai,Singh,Chennai,Tamil Nadu,2023-09-11,Platinum
BM-C00058,Aarav,Verma,Jaipur,Rajasthan,2019-08-22,Silver
BM-C00059,Vivaan,Patel,Jaipur,Rajasthan,2023-12-15,Silver
BM-C00060,Arjun,Sharma,Kolkata,West Bengal,2021-08-15,Gold
BM-C00061,Diya,Reddy,Mumbai,Maharashtra,2024-10-20,Silver
BM-C00062,Diya,Rao,Delhi,Delhi,2022-06-16,Silver
BM-C00063,Sai,Gupta,Hyderabad,Telangana,2022-07-04,Bronze
BM-C00064,Ananya,Nair,Bengaluru,Karnataka,2024-09-12,Silver
